code,cardType,name,sprite,animation,actionClock,rumblePoint,damage,defense,disappear,mana,tileType,zoneIndex,energy,cardText
c1,0,만나자마자,,,6,2,20,10,0,0,0,0,,피해를 20 줍니다 \n 선공 : 피해를 20 추가로 줍니다
c2,0,리벤지,,,8,3,25,10,0,0,0,2,,피해를 25 줍니다 \n 액션이 발동 하기 까지 받은 피해를 추가로 줍니다
c3 ,0,공방 일체 ,,,9,3,40,10,0,0,0,0,,피해를 40 줍니다 \n 대처 : 공격을 받으면 방어도를 10 얻습니다
c4,0,사악한 찌르기,,,2,1,20,0,0,0,0,3,,피해를 20줍니다 \n 선공 : 자신에게 피해를 10줍니다
c5,0,무모한 작전,,,12,4,80,20,0,0,0,1,,피해를 80줍니다 \n 반격 : 적으로 부터 피해를 입을 경우 피해를 10추가로 입습니다
c6,0,추격,,,2,2,10,0,0,0,0,0,,피해를 10줍니다 \n 상대의 다음 행동이 이동일 경우 이동을 취소하고 4턴간 행동 불능에 빠뜨립니다
c7,1,마무리 일격,,,,,,,,,,,1,이번 턴 내 메인액션에 피해량을 20 추가합니다
c8,2,속임수 주사위,,,,,,,,,,,2,"이번 턴 내 메인 액션의 캐스팅을 1~3, 늘이거나 줄일 수 있습니다(선택)"
c9,0,조악한 투척,,,6,2,20,10,0,0,3,4,,피해를 20줍니다 (개구리를 맞추지 않도록 주의하자)
c10,1,시동이 걸리는군,,,,,,,,,,,2,이번 턴 내 메인액션에 \n“선공 : 다음 턴 내 메인 액션의 캐스팅을 6 줄입니다” \n를 부여합니다  
c11,0,공중강습,,,8,3,25,10,0,0,3,5,,공중으로 뛰어 올라 피격 범위의 중앙으로 이동하고 피해를 25줍니다
c12,0,팬텀 메니스,,,7,2,20,10,0,0,14,4,,지정한 위치로 이동하며 그 사이의 모든 적에게 20의 피해를 줍니다 
c13,0,칩 실드,,,5,,0,20,0,0,-1,0,,상대의 공격을 받은 뒤 방어도를 20 잃습니다 
c14,0,돌파,,,5,3,15,10,0,0,0,0,,피해를 15줍니다 \n 선공 :   내 이전 싸이클에 총합 15 이상의 액션을 내렸다면 고정 피해로 바뀝니다
c15,1,바꿔치기의 술,,,,,,,0,0,,,,이번 턴 내 메인 액션에 \n “대처 : 상대 캐릭터의 뒤로 이동합니다 “를 부여합니다
